University,Player,Team,Position
Georgia,Kenny McIntosh,Seattle Seahawks,Running Back
Georgia,Sony Michel,Los Angeles Rams,Running Back
Georgia,Amarius Mims,Cincinnati Bengals,Offensive Tackle
Georgia,Nick Moore,Baltimore Ravens,Long Snapper
Georgia,George Pickens,Pittsburgh Steelers,Wide Receiver
Georgia,Monty Rice,New England Patriots,Linebacker
Georgia,Kelee Ringo,Philadelphia Eagles,Cornerback
Georgia,Jamaree Salyer,Los Angeles Chargers,Guard
Georgia,Roquan Smith,Baltimore Ravens,Linebacker
Georgia,Tykee Smith,Tampa Bay Buccaneers,Safety
Georgia,Chris Smith II,Las Vegas Raiders,Safety
Georgia,Nolan Smith Jr.,Philadelphia Eagles,Linebacker
Georgia,Matthew Stafford,Los Angeles Rams,Quarterback
Georgia,Eric Stokes,Green Bay Packers,Cornerback
Georgia,D'Andre Swift,Chicago Bears,Running Back
Georgia,Channing Tindall,Miami Dolphins,Linebacker
Georgia,Sedrick Van Pran-Granger,Buffalo Bills,Center
Georgia,Herschel Walker,Dallas Cowboys,Fullback
Georgia,Quay Walker,Green Bay Packers,Linebacker
Georgia,Travon Walker,Jacksonville Jaguars,Defensive End
Georgia,Darnell Washington,Pittsburgh Steelers,Tight End
Georgia,Charlie Woerner,Atlanta Falcons,Tight End
Georgia,Devonte Wyatt,Green Bay Packers,Defensive Tackle
Georgia,Isaiah Wynn,Miami Dolphins,Offensive Tackle
Georgia Southern,Darrell Baker Jr.,Tennessee Titans,Cornerback
Georgia Southern,Shemar Bartholomew,Carolina Panthers,Cornerback
Georgia Southern,Tyler Bass,Buffalo Bills,Place kicker
Georgia Southern,Kindle Vildor,Detroit Lions,Cornerback
Georgia State,Travis Glover,Green Bay Packers,Offensive Tackle
Georgia State,Wil Lutz,Denver Broncos,Place kicker
Georgia Tech,Harrison Butker,Kansas City Chiefs,Place kicker
Georgia Tech,Devin Cochran,Cincinnati Bengals,Offensive Tackle
