PLR_NAME,TEAM,RK,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
Luke Farrell,JAX,290,15,11,16,63,5.7,0,11,0,4.2,0,0,29,4
Payne Durham,TB,290,14,7,9,63,9.0,0,26,1,4.5,1,0,10,2
Michael Woods II,CLE,292,4,6,14,62,10.3,0,16,0,15.5,0,0,35,4
Kimani Vidal,LAC,292,8,5,7,62,12.4,1,38,1,7.8,0,0,37,2
Jalin Hyatt,NYG,292,14,8,18,62,7.8,0,19,0,4.4,0,0,6,3
Pharaoh Brown,SEA,295,13,7,11,61,8.7,0,17,0,4.7,0,0,25,2
Hunter Long,LAR,296,15,7,9,60,8.6,0,18,0,4.0,0,0,30,2
Jaleel McLaughlin,DEN,296,14,20,23,60,3.0,2,11,0,4.3,1,1,135,3
JaMycal Hasty,NE,298,14,10,12,59,5.9,1,16,0,4.2,0,0,72,2
Trey Benson,ARI,298,13,6,6,59,9.8,0,19,0,4.5,0,0,78,3
K.J. Osborn,NE,300,7,7,18,57,8.1,1,22,1,8.1,0,0,16,2
Tyler Goodson,IND,301,14,10,13,56,5.6,1,24,1,4.0,0,0,64,3
Odell Beckham Jr.,MIA,302,9,9,18,55,6.1,0,11,0,6.1,0,0,14,3
Durham Smythe,MIA,303,15,9,16,53,5.9,0,8,0,3.5,0,0,16,1
Tank Bigsby,JAX,304,14,6,10,51,8.5,0,28,1,3.6,0,0,57,1
Jacob Cowing,SF,305,13,2,4,50,25.0,0,41,1,3.8,0,0,16,1
