Player,Position,Team,College
Shaka Heyward,Linebacker,Cincinnati Bengals,Duke
Jacob Monk,Center,Green Bay Packers,Duke
Lucas Patrick,Guard,New Orleans Saints,Duke
Laken Tomlinson,Guard,Seattle Seahawks,Duke
Christian Kuntz,Long Snapper,Pittsburgh Steelers,Duquesne
Zay Jones,Wide Receiver,Arizona Cardinals,East Carolina
Linval Joseph,Defensive Tackle,Dallas Cowboys,East Carolina
Ja'Quan McMillian,Cornerback,Denver Broncos,East Carolina
Keaton Mitchell,Running Back,Baltimore Ravens,East Carolina
David Moore,Wide Receiver,Carolina Panthers,East Central (OK)
Kader Kohou,Cornerback,Miami Dolphins,East Texas A&M
Levi Drake Rodriguez,Defensive Tackle,Minnesota Vikings,East Texas A&M
Jimmy Garoppolo,Quarterback,Los Angeles Rams,Eastern Illinois
Kamu Grugier-Hill,Linebacker,Minnesota Vikings,Eastern Illinois
Tim Boyle,Quarterback,New York Giants,Eastern Kentucky
Dylan Drummond,Wide Receiver,Atlanta Falcons,Eastern Michigan
Pat O'Connor,Defensive End,Detroit Lions,Eastern Michigan
Jose Ramirez,Linebacker,Tampa Bay Buccaneers,Eastern Michigan
Sidy Sow,Guard,New England Patriots,Eastern Michigan
Andrew Wylie,Guard,Washington Commanders,Eastern Michigan
Kendrick Bourne,Wide Receiver,New England Patriots,Eastern Washington
Cooper Kupp,Wide Receiver,Los Angeles Rams,Eastern Washington
Olisaemeka Udoh,Offensive Tackle,New Orleans Saints,Elon
Joshua Williams,Cornerback,Kansas City Chiefs,Fayetteville State
Zach Sieler,Defensive Tackle,Miami Dolphins,Ferris State
Tavierre Thomas,Cornerback,Tampa Bay Buccaneers,Ferris State
Michael Jerrell,Offensive Tackle,Seattle Seahawks,Findlay
Taven Bryan,Defensive Tackle,Indianapolis Colts,Florida
Jonathan Bullard,Defensive End,Minnesota Vikings,Florida
Amari Burney,Linebacker,Las Vegas Raiders,Florida
Zach Carter,Defensive Tackle,Las Vegas Raiders,Florida
Brenton Cox Jr.,Defensive End,Green Bay Packers,Florida
Gervon Dexter Sr.,Defensive Tackle,Chicago Bears,Florida
Kaiir Elam,Cornerback,Buffalo Bills,Florida
Stone Forsythe,Offensive Tackle,Seattle Seahawks,Florida
Dante Fowler Jr.,Linebacker,Washington Commanders,Florida
C.J. Gardner-Johnson,Safety,Philadelphia Eagles,Florida
Jonathan Greenard,Linebacker,Minnesota Vikings,Florida
D.J. Humphries,Offensive Tackle,Kansas City Chiefs,Florida
Van Jefferson,Wide Receiver,Pittsburgh Steelers,Florida
Fred Johnson,Offensive Tackle,Philadelphia Eagles,Florida
Marcus Maye,Safety,Los Angeles Chargers,Florida
Ventrell Miller,Linebacker,Jacksonville Jaguars,Florida
Jeremiah Moon,Linebacker,Pittsburgh Steelers,Florida
Ricky Pearsall,Wide Receiver,San Francisco 49ers,Florida
Dameon Pierce,Running Back,Houston Texans,Florida
Eddy Pineiro,Place kicker,Carolina Panthers,Florida
Kyle Pitts,Tight End,Atlanta Falcons,Florida
Brandon Powell,Wide Receiver,Minnesota Vikings,Florida
Anthony Richardson,Quarterback,Indianapolis Colts,Florida
Demarcus Robinson,Wide Receiver,Los Angeles Rams,Florida
Justin Shorter,Tight End,Las Vegas Raiders,Florida
T.J. Slaton,Defensive Tackle,Green Bay Packers,Florida
Jawaan Taylor,Offensive Tackle,Kansas City Chiefs,Florida
O'Cyrus Torrence,Guard,Buffalo Bills,Florida
Tommy Townsend,Punter,Houston Texans,Florida
Kyle Trask,Quarterback,Tampa Bay Buccaneers,Florida
Marco Wilson,Cornerback,Cincinnati Bengals,Florida
Jabari Zuniga,Defensive End,New Orleans Saints,Florida
Terrell Jennings,Running Back,New England Patriots,Florida A&M
Isaiah Land,Defensive End,Indianapolis Colts,Florida A&M
Xavier Smith,Wide Receiver,Los Angeles Rams,Florida A&M
Evan Anderson,Defensive Tackle,San Francisco 49ers,Florida Atlantic
Harrison Bryant,Tight End,Las Vegas Raiders,Florida Atlantic
